drift_k,r2_train,complexity,regimes,mcc_test,hit_ratio,profit_factor,max_drawdown,mape_test,rho_residuos,ticker
0.1,0.19719334618682005,5,33,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,12.726266571961487,0.9839378642402578,BTC-USD
0.2,0.5054426632468596,5,24,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,16.78249786933421,0.990297813282377,BTC-USD
0.30000000000000004,0.503061642600598,5,19,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,16.77814198423191,0.9902933391128754,BTC-USD
0.4,0.49622398039427046,5,16,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,17.151066222262155,0.9906559596569697,BTC-USD
0.5,0.49622398039427046,5,12,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,17.151066222262155,0.9906559596569697,BTC-USD
0.6,0.49622398039427046,5,10,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,17.151066222262155,0.9906559596569697,BTC-USD
0.7000000000000001,0.4912407360280608,5,7,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,17.413831041905393,0.9908961209893342,BTC-USD
0.8,0.4912407360280608,5,7,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,17.413831041905393,0.9908961209893342,BTC-USD
0.9,0.4558788907666924,5,5,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,18.26125039689126,0.9915743265519454,BTC-USD
1.0,0.4558788907666924,5,3,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,18.26125039689126,0.9915743265519454,BTC-USD
1.1,0.4558788907666924,5,3,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,18.26125039689126,0.9915743265519454,BTC-USD
1.2000000000000002,0.4558788907666924,5,3,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,18.26125039689126,0.9915743265519454,BTC-USD
1.3000000000000003,0.4558788907666924,5,3,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,18.26125039689126,0.9915743265519454,BTC-USD
1.4000000000000001,0.4558788907666924,5,3,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,18.26125039689126,0.9915743265519454,BTC-USD
1.5000000000000002,0.4558788907666924,5,3,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,18.26125039689126,0.9915743265519454,BTC-USD
1.6,0.32628328710682875,6,2,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,15.788278300533861,0.9892530989790834,BTC-USD
1.7000000000000002,0.32678262502138505,6,2,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,15.772720480876465,0.9892325630388314,BTC-USD
1.8000000000000003,0.32678262502138505,6,2,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,15.772720480876465,0.9892325630388314,BTC-USD
1.9000000000000001,0.32678262502138505,6,2,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,15.772720480876465,0.9892325630388314,BTC-USD
2.0,0.32678262502138505,6,2,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,15.772720480876465,0.9892325630388314,BTC-USD
2.1,0.32678262502138505,6,2,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,15.772720480876465,0.9892325630388314,BTC-USD
2.2,0.32678262502138505,6,2,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,15.772720480876465,0.9892325630388314,BTC-USD
2.3000000000000003,0.32678262502138505,6,2,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,15.772720480876465,0.9892325630388314,BTC-USD
2.4000000000000004,0.30139662912955467,6,1,0.11556103822713815,0.54,1.2722677431507348,0.28172725862079645,14.85793141614788,0.9880385595901268,BTC-USD
