Date,Open,High,Low,Close,Volume
2023-01-01,500.0,500.0,500.0,500.0,100.0
2023-01-02,506.3105631312674,506.3105631312674,506.3105631312674,506.3105631312674,99.80068533314935
2023-01-03,512.5959705067718,512.5959705067718,512.5959705067718,512.5959705067718,99.20353585932577
2023-01-04,518.8311666489718,518.8311666489718,518.8311666489718,518.8311666489718,98.21093199149804
2023-01-05,524.9912962370308,524.9912962370308,524.9912962370308,524.9912962370308,96.82683053985072
2023-01-06,531.0518031874169,531.0518031874169,531.0518031874169,531.0518031874169,95.05674893877828
2023-01-07,536.9885285416547,536.9885285416547,536.9885285416547,536.9885285416547,92.90774325277306
2023-01-08,542.777806771021,542.777806771021,542.777806771021,542.777806771021,90.38838004888235
2023-01-09,548.3965601142838,548.3965601142838,548.3965601142838,548.3965601142838,87.50870224785938
2023-01-10,553.8223905724288,553.8223905724288,553.8223905724288,553.8223905724288,84.28018909013505
2023-01-11,559.0336691936528,559.0336691936528,559.0336691936528,559.0336691936528,80.71571037619853
2023-01-12,564.0096222927107,564.0096222927107,564.0096222927107,564.0096222927107,76.82947516379708
2023-01-13,568.7304142609185,568.7304142609185,568.7304142609185,568.7304142609185,72.63697512646394
2023-01-14,573.1772266367077,573.1772266367077,573.1772266367077,573.1772266367077,68.15492279916337
2023-01-15,577.3323331215339,577.3323331215339,577.3323331215339,577.3323331215339,63.40118495722387
2023-01-16,581.179170242102,581.179170242102,581.179170242102,581.179170242102,58.394711394130624
2023-01-17,584.7024033772299,584.7024033772299,584.7024033772299,584.7024033772299,53.15545938209014
2023-01-18,587.887987886146,587.887987886146,587.887987886146,587.887987886146,47.70431411648895
2023-01-19,590.7232250945482,590.7232250945482,590.7232250945482,590.7232250945482,42.06300546137842
2023-01-20,593.1968129152435,593.1968129152435,593.1968129152435,593.1968129152435,36.25402132786245
2023-01-21,595.298890901584,595.298890901584,595.298890901584,595.298890901584,30.30051803068727
2023-01-22,597.0210795540986,597.0210795540986,597.0210795540986,597.0210795540986,24.22622798037832
2023-01-23,598.356513723637,598.356513723637,598.356513723637,598.356513723637,18.055365078890233
2023-01-24,599.2998699778669,599.2998699778669,599.2998699778669,599.2998699778669,11.812528195890804
2023-01-25,599.847387822038,599.847387822038,599.847387822038,599.847387822038,5.522603110450817
2023-01-26,599.9968846894157,599.9968846894157,599.9968846894157,599.9968846894157,-0.7893366909713311
2023-01-27,599.7477646416339,599.7477646416339,599.7477646416339,599.7477646416339,-7.0981299648016
2023-01-28,599.1010207442793,599.1010207442793,599.1010207442793,599.1010207442793,-13.378628010447901
2023-01-29,598.0592311082404,598.0592311082404,598.0592311082404,598.0592311082404,-19.605794920397802
2023-01-30,596.6265486126022,596.6265486126022,596.6265486126022,596.6265486126022,-25.75480738068967
2023-01-31,594.808684350051,594.808684350051,594.808684350051,594.808684350051,-31.80115362392381
2023-02-01,592.6128848607841,592.6128848607841,592.6128848607841,592.6128848607841,-37.72073114035759
2023-02-02,590.0479032456751,590.0479032456751,590.0479032456751,590.0479032456751,-43.4899427575793
2023-02-03,587.123964273846,587.123964273846,587.123964273846,587.123964273846,-49.08579070575935
2023-02-04,583.8527236237377,583.8527236237377,583.8527236237377,583.8527236237377,-54.48596829350705
2023-02-05,580.2472214201578,580.2472214201578,580.2472214201578,580.2472214201578,-59.66894882888559
2023-02-06,576.3218302525169,576.3218302525169,576.3218302525169,576.3218302525169,-64.61407143112099
2023-02-07,572.0921978814716,572.0921978814716,572.0921978814716,572.0921978814716,-69.30162339093317
2023-02-08,567.5751848623609,567.5751848623609,567.5751848623609,567.5751848623609,-73.71291875117788
2023-02-09,562.7887973340859,562.7887973340859,562.7887973340859,562.7887973340859,-77.830372794553
2023-02-10,557.7521152413589,557.7521152413589,557.7521152413589,557.7521152413589,-81.6375721414399
2023-02-11,552.4852162764469,552.4852162764469,552.4852162764469,552.4852162764469,-85.11934017844945
2023-02-12,547.0090958436003,547.0090958436003,547.0090958436003,547.0090958436003,-88.26179755685469
2023-02-13,541.3455833652134,541.3455833652134,541.3455833652134,541.3455833652134,-91.05241751974621
2023-02-14,535.5172552633428,535.5172552633428,535.5172552633428,535.5172552633428,-93.48007583735982
2023-02-15,529.547344963467,529.547344963467,529.547344963467,529.547344963467,-95.53509515151947
2023-02-16,523.4596502792369,523.4596502792369,523.4596502792369,523.4596502792369,-97.2092835524257
2023-02-17,517.2784385474099,517.2784385474099,517.2784385474099,517.2784385474099,-98.49596723401105
2023-02-18,511.0283498911275,511.0283498911275,511.0283498911275,511.0283498911275,-99.39001709768877
2023-02-19,504.7342989971558,504.7342989971558,504.7342989971558,504.7342989971558,-99.88786919844436
2023-02-20,498.4213757986363,498.4213757986363,498.4213757986363,498.4213757986363,-99.98753895176573
2023-02-21,492.1147454592524,492.1147454592524,492.1147454592524,492.1147454592524,-99.68862904477932
2023-02-22,485.8395480575048,485.8395480575048,485.8395480575048,485.8395480575048,-98.99233102005572
2023-02-23,479.6207983709848,479.6207983709848,479.6207983709848,479.6207983709848,-97.90142052577146
2023-02-24,473.48328616013214,473.48328616013214,473.48328616013214,473.48328616013214,-96.42024625116117
2023-02-25,467.4514773489788,467.4514773489788,467.4514773489788,467.4514773489788,-94.55471259136671
2023-02-26,461.5494164967989,461.5494164967989,461.5494164967989,461.5494164967989,-92.31225611078607
2023-02-27,455.8006309494421,455.8006309494421,455.8006309494421,455.8006309494421,-89.70181589874636
2023-02-28,450.22803705243166,450.22803705243166,450.22803705243166,450.22803705243166,-86.73379793567146
2023-03-01,444.8538487996893,444.8538487996893,444.8538487996893,444.8538487996893,-83.42003361179175
2023-03-02,439.6994892820386,439.6994892820386,439.6994892820386,439.6994892820386,-79.77373256375195
2023-03-03,434.7855052884813,434.7855052884813,434.7855052884813,434.7855052884813,-75.80943001712455
2023-03-04,430.13148540066936,430.13148540066936,430.13148540066936,430.13148540066936,-71.54292884473715
2023-03-05,425.7559819070717,425.7559819070717,425.7559819070717,425.7559819070717,-66.9912365717855
2023-03-06,421.67643684811094,421.67643684811094,421.67643684811094,421.67643684811094,-62.17249757884953
2023-03-07,417.90911248707374,417.90911248707374,417.90911248707374,417.90911248707374,-57.1059207730695
2023-03-08,414.4690264839588,414.4690264839588,414.4690264839588,414.4690264839588,-51.81170301580777
2023-03-09,411.3698920306791,411.3698920306791,411.3698920306791,411.3698920306791,-46.31094861203475
2023-03-10,408.6240631862563,408.6240631862563,408.6240631862563,408.6240631862563,-40.625585182378884
2023-03-11,406.2424856299175,406.2424856299175,406.2424856299175,406.2424856299175,-34.77827625319824
2023-03-12,404.234653028407,404.234653028407,404.234653028407,404.234653028407,-28.792330913116665
