spline_tol,cusum_h,drift_k,mean_fitness,std_fitness,penalized_fitness,universes_survived
0.002,4.0,1.1000000000000003,0.25612425473708933,0.039739215800327944,0.2163850389367614,5
0.003,4.0,1.1000000000000003,0.25612261359350863,0.039741290603593896,0.21638132298991475,5
0.004,4.0,1.1000000000000003,0.2561201806913598,0.039742907205661177,0.2163772734856986,5
0.001,4.0,1.1000000000000003,0.25611375312323453,0.039736768617621016,0.21637698450561352,5
0.005,4.0,1.1000000000000003,0.24861837605742845,0.0399696208112741,0.20864875524615434,6
0.003,22.0,0.1,0.27388260678620424,0.07306002933336675,0.2008225774528375,8
0.004,22.0,0.1,0.27383906958596854,0.07304561554040119,0.20079345404556737,8
0.005,22.0,0.1,0.2737866931033343,0.07302039138008964,0.20076630172324467,8
0.002,7.0,0.5000000000000001,0.21223632372070025,0.016492959342985603,0.19574336437771464,3
0.003,7.0,0.5000000000000001,0.21223623989285198,0.016496061975664875,0.19574017791718712,3
0.004,7.0,0.5000000000000001,0.21223407832751648,0.016495125205349643,0.19573895312216683,3
0.006,7.0,0.5000000000000001,0.2122321222711593,0.01649577000997978,0.19573635226117952,3
0.001,7.0,0.5000000000000001,0.2095168429648589,0.015041419165761193,0.1944754237990977,4
0.002,22.0,0.1,0.26735168622018435,0.07588704950953355,0.19146463671065078,7
0.006,22.0,0.1,0.26721808772208633,0.07582571720292623,0.19139237051916008,7
0.001,4.0,0.9000000000000001,0.20614587167890938,0.016910962320156146,0.18923490935875323,4
0.003,10.0,0.30000000000000004,0.21525019897361425,0.026226758882749678,0.18902344009086458,4
0.006,10.0,0.30000000000000004,0.2152484345335772,0.026225593331298865,0.18902284120227833,4
0.002,10.0,0.30000000000000004,0.21525056747417298,0.026227859252896033,0.18902270822127695,4
0.004,10.0,0.30000000000000004,0.21524940493762598,0.0262276799655024,0.18902172497212358,4
0.001,10.0,0.30000000000000004,0.21522389403081776,0.026234064668772854,0.18898982936204492,4
0.002,16.0,0.1,0.22194836391455727,0.03472144669433155,0.18722691722022572,5
0.003,16.0,0.1,0.22194367446061208,0.03472580987873558,0.1872178645818765,5
0.001,16.0,0.1,0.22192630028116483,0.03472290426634231,0.18720339601482253,5
0.002,7.0,0.7000000000000001,0.2686841908374396,0.08338516840967451,0.18529902242776508,6
0.003,7.0,0.7000000000000001,0.2686791118957636,0.0833840887146931,0.1852950231810705,6
0.001,7.0,0.7000000000000001,0.2686754204100545,0.08340734368149158,0.1852680767285629,6
0.003,4.0,0.9000000000000001,0.2042749423833169,0.019165412764062088,0.1851095296192548,3
0.002,4.0,0.9000000000000001,0.20427504815848244,0.019166942528835336,0.1851081056296471,3
0.004,4.0,0.9000000000000001,0.20427278086735057,0.019166651348459133,0.18510612951889144,3
0.004,7.0,0.7000000000000001,0.2625477192643285,0.07864397239877507,0.18390374686555344,7
0.005,7.0,0.7000000000000001,0.2625094577175335,0.07865976173970642,0.18384969597782708,7
0.006,7.0,0.7000000000000001,0.26239200161309967,0.07871703028197352,0.18367497133112615,7
0.004,16.0,0.1,0.21393743322633582,0.03640574947897924,0.1775316837473566,6
0.005,16.0,0.1,0.21391803568901013,0.03642373568071387,0.17749430000829625,6
0.005,10.0,0.30000000000000004,0.20656040389670963,0.029190839226430614,0.177369564670279,5
0.006,16.0,0.1,0.21382516387655068,0.03652706148207574,0.17729810239447494,6
0.002,10.0,0.5000000000000001,0.2751371005605741,0.10347860442115929,0.1716584961394148,7
0.003,10.0,0.5000000000000001,0.27513167956176054,0.10347752584324134,0.17165415371851922,7
0.001,10.0,0.5000000000000001,0.2751277406934395,0.10349767896100484,0.17163006173243464,7
0.005,7.0,0.5000000000000001,0.19829438828953297,0.02804770019024372,0.17024668809928925,4
0.005,4.0,0.9000000000000001,0.1937213514319141,0.024685044744869003,0.1690363066870451,4
0.002,19.0,0.1,0.22941243884931986,0.06183062038831764,0.16758181846100223,8
0.003,19.0,0.1,0.22941054041324765,0.061829438256984684,0.16758110215626298,8
0.004,19.0,0.1,0.22937161759952887,0.0618226191828936,0.1675489984166353,8
0.001,19.0,0.1,0.22939556597202587,0.06184763739684918,0.1675479285751767,8
0.005,19.0,0.1,0.22932690514628515,0.061806844897791806,0.16752006024849334,8
0.006,19.0,0.1,0.22931538141789382,0.061806307794811645,0.16750907362308218,8
0.006,4.0,1.1000000000000003,0.23116468123044928,0.06655731069830326,0.16460737053214602,6
0.006,4.0,0.9000000000000001,0.19074360696828035,0.028712049060234925,0.16203155790804544,4
0.002,13.0,0.30000000000000004,0.2437640173037302,0.0840687891032405,0.1596952282004897,8
0.003,13.0,0.30000000000000004,0.24375890631760502,0.08406672073813767,0.15969218557946735,8
0.001,13.0,0.30000000000000004,0.24375495107912723,0.08408571266702623,0.159669238412101,8
0.004,13.0,0.30000000000000004,0.24371314756165074,0.08407593133950268,0.15963721622214805,8
0.005,13.0,0.30000000000000004,0.2436561165707005,0.0840834870330429,0.1595726295376576,8
0.006,13.0,0.30000000000000004,0.24363678860488597,0.08408851725232352,0.15954827135256244,8
0.001,22.0,0.1,0.24451679339472837,0.09321179632834428,0.1513049970663841,8
0.002,4.0,1.3000000000000003,0.2372681603449757,0.09416523897343022,0.14310292137154546,7
0.001,4.0,1.3000000000000003,0.2372582343507447,0.09416157145973478,0.14309666289100992,7
0.003,4.0,1.3000000000000003,0.23725986130140334,0.09416322375981873,0.1430966375415846,7
0.004,4.0,1.3000000000000003,0.23720094875989353,0.0942666048606727,0.14293434389922083,7
0.005,4.0,1.3000000000000003,0.23712774345228932,0.09439840352448556,0.14272933992780376,7
0.006,4.0,1.3000000000000003,0.23709810051909824,0.09445280704575545,0.1426452934733428,7
0.005,1.0,1.9000000000000004,0.16412074334719567,0.03572151326375851,0.12839923008343718,7
0.004,10.0,0.5000000000000001,0.2480891741317538,0.1203616948171214,0.1277274793146324,8
0.005,10.0,0.5000000000000001,0.24804789034651945,0.12041903340621346,0.12762885694030598,8
0.006,10.0,0.5000000000000001,0.24792988611356542,0.12061263749243686,0.12731724862112856,8
0.001,4.0,0.7000000000000001,0.13267589565579707,0.007788390179251678,0.1248875054765454,4
0.005,4.0,0.7000000000000001,0.1307783315662972,0.006071967363910373,0.12470636420238683,4
0.002,1.0,1.9000000000000004,0.16143513533252926,0.03791920616614852,0.12351592916638074,6
0.003,1.0,1.9000000000000004,0.16143515769905062,0.03792420244230807,0.12351095525674255,6
0.004,1.0,1.9000000000000004,0.16143350496544376,0.03792368108002313,0.12350982388542063,6
0.006,1.0,1.9000000000000004,0.16143034547370308,0.03792253685035832,0.12350780862334476,6
0.001,1.0,1.9000000000000004,0.16142619534764793,0.03791891415280378,0.12350728119484415,6
0.003,4.0,0.7000000000000001,0.1296297775355679,0.006617114550302715,0.12301266298526518,3
0.004,4.0,0.7000000000000001,0.12962813853082925,0.006617710589480347,0.1230104279413489,3
0.002,4.0,0.7000000000000001,0.12962929939530568,0.006619124575617781,0.1230101748196879,3
0.003,13.0,0.1,0.15633488960550496,0.03587110454474525,0.1204637850607597,5
0.001,13.0,0.1,0.1563381414375552,0.03587815238243074,0.12045998905512445,5
0.002,13.0,0.1,0.15633699909216342,0.035877230597908684,0.12045976849425474,5
0.002,1.0,2.3000000000000007,0.21857555999753328,0.09822828561703548,0.1203472743804978,6
0.003,1.0,2.3000000000000007,0.21857400990730338,0.09822764995014414,0.12034635995715924,6
0.001,1.0,2.3000000000000007,0.21856397237903824,0.09823313835110184,0.1203308340279364,6
0.004,1.0,2.3000000000000007,0.21853002252457113,0.09830365724682237,0.12022636527774876,6
